# temperatura, humedad relativa, hora -> hcb
(-20, 30, 16) -> 5
(-20, 30, 17) -> 5
(-20, 30, 18) -> 5
(-20, 30, 19) -> 5
(-20, 30, 20) -> 5
(-20, 30, 21) -> 5
(-20, 30, 22) -> 5
(-20, 30, 23) -> 5
(-20, 35, 0) -> 6
(-20, 35, 1) -> 6
(-20, 35, 2) -> 6
(-20, 35, 3) -> 6
(-20, 35, 4) -> 6
(-20, 35, 5) -> 6
(-20, 35, 6) -> 6
(-20, 35, 7) -> 6
(-20, 35, 8) -> 6
(-20, 35, 9) -> 6
(-20, 35, 10) -> 6
(-20, 35, 11) -> 6
(-20, 35, 12) -> 6
(-20, 35, 13) -> 6
(-20, 35, 14) -> 6
(-20, 35, 15) -> 6
(-20, 35, 16) -> 6
(-20, 35, 17) -> 6
(-20, 35, 18) -> 6
(-20, 35, 19) -> 6
(-20, 35, 20) -> 6
(-20, 35, 21) -> 6
(-20, 35, 22) -> 6
(-20, 35, 23) -> 6
(-20, 40, 0) -> 7
(-20, 40, 1) -> 7
(-20, 40, 2) -> 7
(-20, 40, 3) -> 7
(-20, 40, 4) -> 7
(-20, 40, 5) -> 7
(-20, 40, 6) -> 7
(-20, 40, 7) -> 7
(-20, 40, 8) -> 7
(-20, 40, 9) -> 7
(-20, 40, 10) -> 7
(-20, 40, 11) -> 7
(-20, 40, 12) -> 7
(-20, 40, 13) -> 7
(-20, 40, 14) -> 7
(-20, 40, 15) -> 7
(-20, 40, 16) -> 7
(-20, 40, 17) -> 7
(-20, 40, 18) -> 7
(-20, 40, 19) -> 7
(-20, 40, 20) -> 7
(-20, 40, 21) -> 7
(-20, 40, 22) -> 7
(-20, 40, 23) -> 7
(-20, 45, 0) -> 8
(-20, 45, 1) -> 8
(-20, 45, 2) -> 8
(-20, 45, 3) -> 8
(-20, 45, 4) -> 8
(-20, 45, 5) -> 8
(-20, 45, 6) -> 8
(-20, 45, 7) -> 8
(-20, 45, 8) -> 8
(-20, 45, 9) -> 8
(-20, 45, 10) -> 8
(-20, 45, 11) -> 8
(-20, 45, 12) -> 8
(-20, 45, 13) -> 8
(-20, 45, 14) -> 8
(-20, 45, 15) -> 8
(-20, 45, 16) -> 8
(-20, 45, 17) -> 8
(-20, 45, 18) -> 8
(-20, 45, 19) -> 8
(-20, 45, 20) -> 8
(-20, 45, 21) -> 8
(-20, 45, 22) -> 8
(-20, 45, 23) -> 8
(-20, 50, 0) -> 8
(-20, 50, 1) -> 8
(-20, 50, 2) -> 8
(-20, 50, 3) -> 8
(-20, 50, 4) -> 8
(-20, 50, 5) -> 8
(-20, 50, 6) -> 8
(-20, 50, 7) -> 8
(-20, 50, 8) -> 8
(-20, 50, 9) -> 8
(-20, 50, 10) -> 8
(-20, 50, 11) -> 8
(-20, 50, 12) -> 8
(-20, 50, 13) -> 8
(-20, 50, 14) -> 8
(-20, 50, 15) -> 8
(-20, 50, 16) -> 8
(-20, 50, 17) -> 8
(-20, 50, 18) -> 8
(-20, 50, 19) -> 8
(-20, 50, 20) -> 8
(-20, 50, 21) -> 8
(-20, 50, 22) -> 8
(-20, 50, 23) -> 8
(-20, 55, 0) -> 8
(-20, 55, 1) -> 8
(-20, 55, 2) -> 8
(-20, 55, 3) -> 8
(-20, 55, 4) -> 8
(-20, 55, 5) -> 8
(-20, 55, 6) -> 8
(-20, 55, 7) -> 8
(-20, 55, 8) -> 8
(-20, 55, 9) -> 8
(-20, 55, 10) -> 8
(-20, 55, 11) -> 8
(-20, 55, 12) -> 8
(-20, 55, 13) -> 8
(-20, 55, 14) -> 8
(-20, 55, 15) -> 8
(-20, 55, 16) -> 8
(-20, 55, 17) -> 8
(-20, 55, 18) -> 8
(-20, 55, 19) -> 8
(-20, 55, 20) -> 8
(-20, 55, 21) -> 8
(-20, 55, 22) -> 8
(-20, 55, 23) -> 8
(-20, 60, 0) -> 9
(-20, 60, 1) -> 9
(-20, 60, 2) -> 9
(-20, 60, 3) -> 9
(-20, 60, 4) -> 9
(-20, 60, 5) -> 9
(-20, 60, 6) -> 9
(-20, 60, 7) -> 9
(-20, 60, 8) -> 9
(-20, 60, 9) -> 9
(-20, 60, 10) -> 9
(-20, 60, 11) -> 9
(-20, 60, 12) -> 9
(-20, 60, 13) -> 9
(-20, 60, 14) -> 9
(-20, 60, 15) -> 9
(-20, 60, 16) -> 9
(-20, 60, 17) -> 9
(-20, 60, 18) -> 9
(-20, 60, 19) -> 9
(-20, 60, 20) -> 9
(-20, 60, 21) -> 9
(-20, 60, 22) -> 9
(-20, 60, 23) -> 9
(-20, 65, 0) -> 9
(-20, 65, 1) -> 9
(-20, 65, 2) -> 9
(-20, 65, 3) -> 9
(-20, 65, 4) -> 9
(-20, 65, 5) -> 9
(-20, 65, 6) -> 9
(-20, 65, 7) -> 9
(-20, 65, 8) -> 9
(-20, 65, 9) -> 9
(-20, 65, 10) -> 9
(-20, 65, 11) -> 9
(-20, 65, 12) -> 9
(-20, 65, 13) -> 9
(-20, 65, 14) -> 9
(-20, 65, 15) -> 9
(-20, 65, 16) -> 9
(-20, 65, 17) -> 9
(-20, 65, 18) -> 9
(-20, 65, 19) -> 9
(-20, 65, 20) -> 9
(-20, 65, 21) -> 9
(-20, 65, 22) -> 9
(-20, 65, 23) -> 9
(-20, 70, 0) -> 10
(-20, 70, 1) -> 10
(-20, 70, 2) -> 10
(-20, 70, 3) -> 10
(-20, 70, 4) -> 10
(-20, 70, 5) -> 10
(-20, 70, 6) -> 10
(-20, 70, 7) -> 10
(-20, 70, 8) -> 10
(-20, 70, 9) -> 10
(-20, 70, 10) -> 10
(-20, 70, 11) -> 10
(-20, 70, 12) -> 10
(-20, 70, 13) -> 10
(-20, 70, 14) -> 10
(-20, 70, 15) -> 10
(-20, 70, 16) -> 10
(-20, 70, 17) -> 10
(-20, 70, 18) -> 10
(-20, 70, 19) -> 10
(-20, 70, 20) -> 10
(-20, 70, 21) -> 10
(-20, 70, 22) -> 10
(-20, 70, 23) -> 10
(-20, 75, 0) -> 11
(-20, 75, 1) -> 11
(-20, 75, 2) -> 11
(-20, 75, 3) -> 11
(-20, 75, 4) -> 11
(-20, 75, 5) -> 11
(-20, 75, 6) -> 11
(-20, 75, 7) -> 11
(-20, 75, 8) -> 11
(-20, 75, 9) -> 11
(-20, 75, 10) -> 11
(-20, 75, 11) -> 11
(-20, 75, 12) -> 11
(-20, 75, 13) -> 11
(-20, 75, 14) -> 11
(-20, 75, 15) -> 11
(-20, 75, 16) -> 11
(-20, 75, 17) -> 11
(-20, 75, 18) -> 11
(-20, 75, 19) -> 11
(-20, 75, 20) -> 11
(-20, 75, 21) -> 11
(-20, 75, 22) -> 11
(-20, 75, 23) -> 11
(-20, 80, 0) -> 12
(-20, 80, 1) -> 12
(-20, 80, 2) -> 12
(-20, 80, 3) -> 12
(-20, 80, 4) -> 12
(-20, 80, 5) -> 12
(-20, 80, 6) -> 12
(-20, 80, 7) -> 12
(-20, 80, 8) -> 12
(-20, 80, 9) -> 12
(-20, 80, 10) -> 12
(-20, 80, 11) -> 12
(-20, 80, 12) -> 12
(-20, 80, 13) -> 12
(-20, 80, 14) -> 12
(-20, 80, 15) -> 12
(-20, 80, 16) -> 12
(-20, 80, 17) -> 12
(-20, 80, 18) -> 12
(-20, 80, 19) -> 12
(-20, 80, 20) -> 12
(-20, 80, 21) -> 12
(-20, 80, 22) -> 12
(-20, 80, 23) -> 12
(-20, 85, 0) -> 12
(-20, 85, 1) -> 12
(-20, 85, 2) -> 12
(-20, 85, 3) -> 12
(-20, 85, 4) -> 12
(-20, 85, 5) -> 12
(-20, 85, 6) -> 12
(-20, 85, 7) -> 12
(-20, 85, 8) -> 12
(-20, 85, 9) -> 12
(-20, 85, 10) -> 12
(-20, 85, 11) -> 12
(-20, 85, 12) -> 12
(-20, 85, 13) -> 12
(-20, 85, 14) -> 12
(-20, 85, 15) -> 12
(-20, 85, 16) -> 12
(-20, 85, 17) -> 12
(-20, 85, 18) -> 12
(-20, 85, 19) -> 12
(-20, 85, 20) -> 12
(-20, 85, 21) -> 12
(-20, 85, 22) -> 12
(-20, 85, 23) -> 12
(-20, 90, 0) -> 13
(-20, 90, 1) -> 13
(-20, 90, 2) -> 13
(-20, 90, 3) -> 13
(-20, 90, 4) -> 13
(-20, 90, 5) -> 13
(-20, 90, 6) -> 13
(-20, 90, 7) -> 13
(-20, 90, 8) -> 13
(-20, 90, 9) -> 13
(-20, 90, 10) -> 13
(-20, 90, 11) -> 13
(-20, 90, 12) -> 13
(-20, 90, 13) -> 13
(-20, 90, 14) -> 13
(-20, 90, 15) -> 13
(-20, 90, 16) -> 13
(-20, 90, 17) -> 13
(-20, 90, 18) -> 13
(-20, 90, 19) -> 13
(-20, 90, 20) -> 13
(-20, 90, 21) -> 13
(-20, 90, 22) -> 13
(-20, 90, 23) -> 13
(-20, 95, 0) -> 13
(-20, 95, 1) -> 13
(-20, 95, 2) -> 13
(-20, 95, 3) -> 13
(-20, 95, 4) -> 13
(-20, 95, 5) -> 13
(-20, 95, 6) -> 13
(-20, 95, 7) -> 13
(-20, 95, 8) -> 13
(-20, 95, 9) -> 13
(-20, 95, 10) -> 13
(-20, 95, 11) -> 13
(-20, 95, 12) -> 13
(-20, 95, 13) -> 13
(-20, 95, 14) -> 13
(-20, 95, 15) -> 13
(-20, 95, 16) -> 13
(-20, 95, 17) -> 13
(-20, 95, 18) -> 13
(-20, 95, 19) -> 13
(-20, 95, 20) -> 13
(-20, 95, 21) -> 13
(-20, 95, 22) -> 13
(-20, 95, 23) -> 13
(-20, 100, 0) -> 14
(-20, 100, 1) -> 14
(-20, 100, 2) -> 14
(-20, 100, 3) -> 14
(-20, 100, 4) -> 14
(-20, 100, 5) -> 14
(-20, 100, 6) -> 14
(-20, 100, 7) -> 14
(-20, 100, 8) -> 14
(-20, 100, 9) -> 14
(-20, 100, 10) -> 14
(-20, 100, 11) -> 14
(-20, 100, 12) -> 14
(-20, 100, 13) -> 14
(-20, 100, 14) -> 14
(-20, 100, 15) -> 14
(-20, 100, 16) -> 14
(-20, 100, 17) -> 14
(-20, 100, 18) -> 14
(-20, 100, 19) -> 14
(-20, 100, 20) -> 14
(-20, 100, 21) -> 14
(-20, 100, 22) -> 14
(-20, 100, 23) -> 14
(-15, 0, 0) -> 1
(-15, 0, 1) -> 1
(-15, 0, 2) -> 1
(-15, 0, 3) -> 1
(-15, 0, 4) -> 1
(-15, 0, 5) -> 1
(-15, 0, 6) -> 1
(-15, 0, 7) -> 1
(-15, 0, 8) -> 1
(-15, 0, 9) -> 1
(-15, 0, 10) -> 1
(-15, 0, 11) -> 1
(-15, 0, 12) -> 1
(-15, 0, 13) -> 1
(-15, 0, 14) -> 1
(-15, 0, 15) -> 1
(-15, 0, 16) -> 1
(-15, 0, 17) -> 1
(-15, 0, 18) -> 1
(-15, 0, 19) -> 1
(-15, 0, 20) -> 1
(-15, 0, 21) -> 1
(-15, 0, 22) -> 1
(-15, 0, 23) -> 1
(-15, 5, 0) -> 2
(-15, 5, 1) -> 2
(-15, 5, 2) -> 2
(-15, 5, 3) -> 2
(-15, 5, 4) -> 2
(-15, 5, 5) -> 2
(-15, 5, 6) -> 2
(-15, 5, 7) -> 2
(-15, 5, 8) -> 2
(-15, 5, 9) -> 2
(-15, 5, 10) -> 2
(-15, 5, 11) -> 2
(-15, 5, 12) -> 2
(-15, 5, 13) -> 2
(-15, 5, 14) -> 2
(-15, 5, 15) -> 2
(-15, 5, 16) -> 2
(-15, 5, 17) -> 2
(-15, 5, 18) -> 2
(-15, 5, 19) -> 2
(-15, 5, 20) -> 2
(-15, 5, 21) -> 2
(-15, 5, 22) -> 2
(-15, 5, 23) -> 2
(-15, 10, 0) -> 2
(-15, 10, 1) -> 2
(-15, 10, 2) -> 2
(-15, 10, 3) -> 2
(-15, 10, 4) -> 2
(-15, 10, 5) -> 2
(-15, 10, 6) -> 2
(-15, 10, 7) -> 2
(-15, 10, 8) -> 2
(-15, 10, 9) -> 2
(-15, 10, 10) -> 2
(-15, 10, 11) -> 2
(-15, 10, 12) -> 2
(-15, 10, 13) -> 2
(-15, 10, 14) -> 2
(-15, 10, 15) -> 2
(-15, 10, 16) -> 2
(-15, 10, 17) -> 2
(-15, 10, 18) -> 2
(-15, 10, 19) -> 2
(-15, 10, 20) -> 2
(-15, 10, 21) -> 2
(-15, 10, 22) -> 2
(-15, 10, 23) -> 2
(-15, 15, 0) -> 3
(-15, 15, 1) -> 3
(-15, 15, 2) -> 3
(-15, 15, 3) -> 3
(-15, 15, 4) -> 3
(-15, 15, 5) -> 3
(-15, 15, 6) -> 3
(-15, 15, 7) -> 3
(-15, 15, 8) -> 3
(-15, 15, 9) -> 3
(-15, 15, 10) -> 3
(-15, 15, 11) -> 3
(-15, 15, 12) -> 3
(-15, 15, 13) -> 3
(-15, 15, 14) -> 3
(-15, 15, 15) -> 3
(-15, 15, 16) -> 3
(-15, 15, 17) -> 3
(-15, 15, 18) -> 3
(-15, 15, 19) -> 3
(-15, 15, 20) -> 3
(-15, 15, 21) -> 3
(-15, 15, 22) -> 3
(-15, 15, 23) -> 3
(-15, 20, 0) -> 4
(-15, 20, 1) -> 4
(-15, 20, 2) -> 4
(-15, 20, 3) -> 4
(-15, 20, 4) -> 4
(-15, 20, 5) -> 4
(-15, 20, 6) -> 4
(-15, 20, 7) -> 4
(-15, 20, 8) -> 4
(-15, 20, 9) -> 4
(-15, 20, 10) -> 4
(-15, 20, 11) -> 4
(-15, 20, 12) -> 4
(-15, 20, 13) -> 4
(-15, 20, 14) -> 4
(-15, 20, 15) -> 4
(-15, 20, 16) -> 4
(-15, 20, 17) -> 4
(-15, 20, 18) -> 4
(-15, 20, 19) -> 4
(-15, 20, 20) -> 4
(-15, 20, 21) -> 4
(-15, 20, 22) -> 4
(-15, 20, 23) -> 4
(-15, 25, 0) -> 5
(-15, 25, 1) -> 5
(-15, 25, 2) -> 5
(-15, 25, 3) -> 5
(-15, 25, 4) -> 5
(-15, 25, 5) -> 5
(-15, 25, 6) -> 5
(-15, 25, 7) -> 5
(-15, 25, 8) -> 5
(-15, 25, 9) -> 5
(-15, 25, 10) -> 5
(-15, 25, 11) -> 5
(-15, 25, 12) -> 5
(-15, 25, 13) -> 5
(-15, 25, 14) -> 5
(-15, 25, 15) -> 5
(-15, 25, 16) -> 5
(-15, 25, 17) -> 5
(-15, 25, 18) -> 5
(-15, 25, 19) -> 5
(-15, 25, 20) -> 5
(-15, 25, 21) -> 5
(-15, 25, 22) -> 5
(-15, 25, 23) -> 5
(-15, 30, 0) -> 5
(-15, 30, 1) -> 5
(-15, 30, 2) -> 5
(-15, 30, 3) -> 5
(-15, 30, 4) -> 5
(-15, 30, 5) -> 5
(-15, 30, 6) -> 5
(-15, 30, 7) -> 5
(-15, 30, 8) -> 5
(-15, 30, 9) -> 5
(-15, 30, 10) -> 5
(-15, 30, 11) -> 5
(-15, 30, 12) -> 5
(-15, 30, 13) -> 5
(-15, 30, 14) -> 5
(-15, 30, 15) -> 5
(-15, 30, 16) -> 5
(-15, 30, 17) -> 5
(-15, 30, 18) -> 5
(-15, 30, 19) -> 5
(-15, 30, 20) -> 5
(-15, 30, 21) -> 5
(-15, 30, 22) -> 5
(-15, 30, 23) -> 5
(-15, 35, 0) -> 6
(-15, 35, 1) -> 6
(-15, 35, 2) -> 6
(-15, 35, 3) -> 6
(-15, 35, 4) -> 6
(-15, 35, 5) -> 6
(-15, 35, 6) -> 6
(-15, 35, 7) -> 6
(-15, 35, 8) -> 6
(-15, 35, 9) -> 6
(-15, 35, 10) -> 6
(-15, 35, 11) -> 6
(-15, 35, 12) -> 6
(-15, 35, 13) -> 6
(-15, 35, 14) -> 6
(-15, 35, 15) -> 6
(-15, 35, 16) -> 6
(-15, 35, 17) -> 6
(-15, 35, 18) -> 6
(-15, 35, 19) -> 6
(-15, 35, 20) -> 6
(-15, 35, 21) -> 6
(-15, 35, 22) -> 6
(-15, 35, 23) -> 6
(-15, 40, 0) -> 7
(-15, 40, 1) -> 7
(-15, 40, 2) -> 7
(-15, 40, 3) -> 7
(-15, 40, 4) -> 7
(-15, 40, 5) -> 7
(-15, 40, 6) -> 7
(-15, 40, 7) -> 7
(-15, 40, 8) -> 7
(-15, 40, 9) -> 7
(-15, 40, 10) -> 7
(-15, 40, 11) -> 7
(-15, 40, 12) -> 7
(-15, 40, 13) -> 7
(-15, 40, 14) -> 7
(-15, 40, 15) -> 7
(-15, 40, 16) -> 7
(-15, 40, 17) -> 7
(-15, 40, 18) -> 7
(-15, 40, 19) -> 7
(-15, 40, 20) -> 7
(-15, 40, 21) -> 7
(-15, 40, 22) -> 7
(-15, 40, 23) -> 7
(-15, 45, 0) -> 8
(-15, 45, 1) -> 8
(-15, 45, 2) -> 8
(-15, 45, 3) -> 8
(-15, 45, 4) -> 8
(-15, 45, 5) -> 8
(-15, 45, 6) -> 8
(-15, 45, 7) -> 8
(-15, 45, 8) -> 8
(-15, 45, 9) -> 8
(-15, 45, 10) -> 8
(-15, 45, 11) -> 8
(-15, 45, 12) -> 8
(-15, 45, 13) -> 8
(-15, 45, 14) -> 8
(-15, 45, 15) -> 8
(-15, 45, 16) -> 8
(-15, 45, 17) -> 8
(-15, 45, 18) -> 8
(-15, 45, 19) -> 8
(-15, 45, 20) -> 8
(-15, 45, 21) -> 8
(-15, 45, 22) -> 8
(-15, 45, 23) -> 8
(-15, 50, 0) -> 8
(-15, 50, 1) -> 8
(-15, 50, 2) -> 8
(-15, 50, 3) -> 8
(-15, 50, 4) -> 8
(-15, 50, 5) -> 8
(-15, 50, 6) -> 8
(-15, 50, 7) -> 8
(-15, 50, 8) -> 8
(-15, 50, 9) -> 8
(-15, 50, 10) -> 8
(-15, 50, 11) -> 8
(-15, 50, 12) -> 8
(-15, 50, 13) -> 8
(-15, 50, 14) -> 8
(-15, 50, 15) -> 8
(-15, 50, 16) -> 8
(-15, 50, 17) -> 8
(-15, 50, 18) -> 8
(-15, 50, 19) -> 8
(-15, 50, 20) -> 8
(-15, 50, 21) -> 8
(-15, 50, 22) -> 8
(-15, 50, 23) -> 8
(-15, 55, 0) -> 8
(-15, 55, 1) -> 8
(-15, 55, 2) -> 8
(-15, 55, 3) -> 8
(-15, 55, 4) -> 8
(-15, 55, 5) -> 8
(-15, 55, 6) -> 8
(-15, 55, 7) -> 8
(-15, 55, 8) -> 8
(-15, 55, 9) -> 8
(-15, 55, 10) -> 8
(-15, 55, 11) -> 8
(-15, 55, 12) -> 8
(-15, 55, 13) -> 8
(-15, 55, 14) -> 8
(-15, 55, 15) -> 8
(-15, 55, 16) -> 8
(-15, 55, 17) -> 8
(-15, 55, 18) -> 8
(-15, 55, 19) -> 8
(-15, 55, 20) -> 8
(-15, 55, 21) -> 8
(-15, 55, 22) -> 8
(-15, 55, 23) -> 8
(-15, 60, 0) -> 9
(-15, 60, 1) -> 9
(-15, 60, 2) -> 9
(-15, 60, 3) -> 9
(-15, 60, 4) -> 9
(-15, 60, 5) -> 9
(-15, 60, 6) -> 9
(-15, 60, 7) -> 9
(-15, 60, 8) -> 9
(-15, 60, 9) -> 9
(-15, 60, 10) -> 9
(-15, 60, 11) -> 9
(-15, 60, 12) -> 9
(-15, 60, 13) -> 9
(-15, 60, 14) -> 9
(-15, 60, 15) -> 9
(-15, 60, 16) -> 9
(-15, 60, 17) -> 9
(-15, 60, 18) -> 9
(-15, 60, 19) -> 9
(-15, 60, 20) -> 9
(-15, 60, 21) -> 9
(-15, 60, 22) -> 9
(-15, 60, 23) -> 9
(-15, 65, 0) -> 9
(-15, 65, 1) -> 9
(-15, 65, 2) -> 9
(-15, 65, 3) -> 9
(-15, 65, 4) -> 9
(-15, 65, 5) -> 9
(-15, 65, 6) -> 9
(-15, 65, 7) -> 9
(-15, 65, 8) -> 9
(-15, 65, 9) -> 9
(-15, 65, 10) -> 9
(-15, 65, 11) -> 9
(-15, 65, 12) -> 9
(-15, 65, 13) -> 9
(-15, 65, 14) -> 9
(-15, 65, 15) -> 9
(-15, 65, 16) -> 9
(-15, 65, 17) -> 9
(-15, 65, 18) -> 9
(-15, 65, 19) -> 9
(-15, 65, 20) -> 9
(-15, 65, 21) -> 9
(-15, 65, 22) -> 9
(-15, 65, 23) -> 9
(-15, 70, 0) -> 10
(-15, 70, 1) -> 10
(-15, 70, 2) -> 10
(-15, 70, 3) -> 10
(-15, 70, 4) -> 10
(-15, 70, 5) -> 10
(-15, 70, 6) -> 10
(-15, 70, 7) -> 10
(-15, 70, 8) -> 10
(-15, 70, 9) -> 10
(-15, 70, 10) -> 10
(-15, 70, 11) -> 10
(-15, 70, 12) -> 10
(-15, 70, 13) -> 10
(-15, 70, 14) -> 10
(-15, 70, 15) -> 10
(-15, 70, 16) -> 10
(-15, 70, 17) -> 10
(-15, 70, 18) -> 10
(-15, 70, 19) -> 10
(-15, 70, 20) -> 10
(-15, 70, 21) -> 10
(-15, 70, 22) -> 10
(-15, 70, 23) -> 10
(-15, 75, 0) -> 11
(-15, 75, 1) -> 11
(-15, 75, 2) -> 11
(-15, 75, 3) -> 11
(-15, 75, 4) -> 11
(-15, 75, 5) -> 11
(-15, 75, 6) -> 11
(-15, 75, 7) -> 11
(-15, 75, 8) -> 11
(-15, 75, 9) -> 11
(-15, 75, 10) -> 11
(-15, 75, 11) -> 11
(-15, 75, 12) -> 11
(-15, 75, 13) -> 11
(-15, 75, 14) -> 11
(-15, 75, 15) -> 11
(-15, 75, 16) -> 11
(-15, 75, 17) -> 11
(-15, 75, 18) -> 11
(-15, 75, 19) -> 11
(-15, 75, 20) -> 11
(-15, 75, 21) -> 11
(-15, 75, 22) -> 11
(-15, 75, 23) -> 11
(-15, 80, 0) -> 12
(-15, 80, 1) -> 12
(-15, 80, 2) -> 12
(-15, 80, 3) -> 12
(-15, 80, 4) -> 12
(-15, 80, 5) -> 12
(-15, 80, 6) -> 12
(-15, 80, 7) -> 12
(-15, 80, 8) -> 12
(-15, 80, 9) -> 12
(-15, 80, 10) -> 12
(-15, 80, 11) -> 12
(-15, 80, 12) -> 12
(-15, 80, 13) -> 12
(-15, 80, 14) -> 12
(-15, 80, 15) -> 12
(-15, 80, 16) -> 12
(-15, 80, 17) -> 12
(-15, 80, 18) -> 12
(-15, 80, 19) -> 12
(-15, 80, 20) -> 12
(-15, 80, 21) -> 12
(-15, 80, 22) -> 12
(-15, 80, 23) -> 12
(-15, 85, 0) -> 12
(-15, 85, 1) -> 12
(-15, 85, 2) -> 12
(-15, 85, 3) -> 12
(-15, 85, 4) -> 12
(-15, 85, 5) -> 12
(-15, 85, 6) -> 12
(-15, 85, 7) -> 12
(-15, 85, 8) -> 12
(-15, 85, 9) -> 12
(-15, 85, 10) -> 12
(-15, 85, 11) -> 12
(-15, 85, 12) -> 12
(-15, 85, 13) -> 12
(-15, 85, 14) -> 12
(-15, 85, 15) -> 12
(-15, 85, 16) -> 12
(-15, 85, 17) -> 12
